Den;Datum;Zaèátek;ZS;Soutìž;ÈU;Domácí;Hosté;Stav
Ne;10.08.2025;11:00;KT;"PRIP PL";PX033;"HC Klatovy ";"HC Strakonice ";Pøipraveno
Ne;10.08.2025;13:45;KT;"PRIP PL";PX034;"HC Klatovy ";"HC Strakonice ";Pøipraveno
Pá;15.08.2025;13:30;TM;"PRIP PL";PX044;"HC Meteor Tøemošná ";"HC Klatovy ";Pøipraveno
Ne;17.08.2025;12:30;TM;"PRIP PL";PX037;"HC Meteor Tøemošná ";"HC Klatovy ";Pøipraveno
Ne;17.08.2025;15:15;TM;"PRIP PL";PX038;"HC Meteor Tøemošná ";"HC Klatovy ";Pøipraveno
St;27.08.2025;16:30;KT;"PRIP PL";PX039;"HC Klatovy ";"HC Baník Sokolov ";Pøipraveno
St;27.08.2025;18:30;KT;"PRIP PL";PX040;"HC Klatovy ";"HC Baník Sokolov ";Pøipraveno
So;30.08.2025;11:30;KT;"PRIP PL";PX042;"HC Klatovy ";"Tým neznámý ";Pøipraveno
So;30.08.2025;14:15;KT;"PRIP PL";PX041;"HC Klatovy ";"HC Domažlice ";Pøipraveno
So;06.09.2025;11:30;KT;"PRIP PL";PX043;"HC Klatovy ";"HC Meteor Tøemošná ";Pøipraveno
Ne;07.09.2025;16:00;DO;"PRIP PL";PX079;"HC Domažlice ";"HC Klatovy ";Pøipraveno
Ne;14.09.2025;14:15;KT;"PRIP PL";PX075;"HC Klatovy ";"HC Pøíbram ";Pøipraveno
Pá;19.09.2025;18:10;KT;RLJ;C1002;"HC Klatovy ";"HC Spartak Žebrák ";1:5
So;20.09.2025;10:15;HC;RLSD;P3003;"HC Spartak Žebrák ";"HC Klatovy ";2:3sn
Ne;21.09.2025;13:45;PB;RLSD;P3033;"HC Pøíbram C";"HC Klatovy ";5:7
Ne;21.09.2025;17:00;PB;RLJ;C1012;"HC Pøíbram ";"HC Klatovy ";6:1
Ne;21.09.2025;18:30;KT;"KLM KPK";P0241;"HC Klatovy ";"HC Mariánské Láznì ";8:4
So;27.09.2025;12:15;TM;"LMŽ B";K5007;"HC Meteor Tøemošná B";"HC Klatovy ";2:8
So;27.09.2025;17:00;RO;"KLM KPK";P0244;"HK Rokycany, o.s. ";"HC Klatovy ";8:4
So;27.09.2025;18:30;TM;RLSD;P3008;"HC Meteor Tøemošná ";"HC Klatovy ";8:1
Ne;28.09.2025;12:25;KT;RLJ;C1017;"HC Klatovy ";"HC Meteor Tøemošná ";3:5
Ne;28.09.2025;13:00;CH;"LMŽ B";K5003;"HC Stadion Cheb ";"HC Klatovy B";6:12
Pá;03.10.2025;17:30;KT;RLJ;C1028;"HC Klatovy ";"HC Rokycany z.s. ";0:5
So;04.10.2025;12:10;KT;"LMŽ B";K5012;"HC Klatovy B";"HC Èerti Ostrov ";9:5
So;04.10.2025;12:30;SO;"LMŽ B";K5008;"HC Baník Sokolov B";"HC Klatovy ";2:13
Ne;05.10.2025;09:45;RO;"LSŽ B";P7004;"HC Rokycany z.s. ";"HC Klatovy ";8:0
Ne;05.10.2025;11:30;KT;RLJ;C1034;"HC Klatovy ";"HC DDM È.Budìjovice ";4:6
Ne;05.10.2025;18:45;KT;"KLM KPK";P0248;"HC Klatovy ";"HC Baník Sokolov B";6:4
